SVSPP,Common Name,Scientific Name,GF,DEM,EL,PEL,INV,COM,NC
821,SLENDER TONGUEFISH,SYMPHURUS MARGINATUS,,,,,,,
822,SNAKE MACKEREL UNCL,TRICHIURIDAE,,,,,,,
824,ESCOLAR,LEPIDOCYBIUM FLAVOBRUNNEUM,,,,,,,
825,Blackcheek tonguefish,Symphurus plagiusa,,X,,,,,X
826,NORTHERN TONGUEFISH,SYMPHURUS PUSILLUS,,,,,,,
827,SPOTTAIL TONGUEFISH,SYMPHURUS UROSPILUS,,,,,,,
829,JAMBEAU,PARAHOLLARDIA LINEATA,,,,,,,
830,DOTTEREL FILEFISH,ALUTERUS HEUDELOTI,,,,,,,
831,UNICORN FILEFISH,ALUTERUS MONOCEROS,,,,,,,
832,Orange filefish,Aluterus schoepfi,,,,X,,,X
833,SCRAWLED FILEFISH,ALUTERUS SCRIPTUS,,,,,,,
843,MARBLED PUFFER,SPHOEROIDES DORSALIS,,,,,,,
844,SOUTHERN PUFFER,SPHOEROIDES NEPHELUS,,,,,,,
851,Anchovy (unclassified),Engraulidae,,,,X,,,X
852,Lizardfish (unclassified),Synodontidae,,X,,,,,X
855,BUTTERFLYFISH UNCL,CHAETODONTIDAE,,,,,,,
856,Striated argentine,Argentina striata,,,,X,,,X
857,STARGAZER UNCL,URANOSCOPIDAE,,,,,,,
858,DRUM UNCL,SCIAENIDAE,,,,,,,
859,DUSKY ANCHOVY,ANCHOA LYOLEPIS,,,,,,,
860,MACKEREL AND TUNA UNCL,SCOMBRIDAE,,,,,,,
861,PUFFER UNCL,TETRAODONTIDAE,,,,,,,
862,Redeye gaper,Chaunax stigmaeus,,X,,,,,X
865,Silver anchovy,Engraulis eurystole,,,,X,,,X
866,Whiff (unclassified),Citharichthys sp.,X,,,,,,X
867,Shortbeard codling,Laemonema barbatulum,,X,,,,,X
869,Mooneye cusk-eel,Ophidion selenops,,X,,,,,X
871,SHORTWING SEAROBIN,PRIONOTUS STEARNSI,,,,,,,
874,SNAKE MACKEREL,GEMPYLUS SERPENS,,,,,,,
876,Bigeye cigarfish,Cubiceps pauciradiatus,,,,X,,,X
877,LESSER AMBERJACK,SERIOLA FASCIATA,,,,,,,
880,Bluntnose puffer,Sphoeroides pachygaster,,X,,,,,X
886,,,,,,,,,
887,Lightfish (unclassified),Gonostomatidae,,,,X,,,X
890,LONGNOSE ANCHOVY,ANCHOA NASUTA,,,,,,,
891,BROWN DRIFTFISH,ARIOMMA MELANUM,,,,,,,
894,Atlantic salmon,Salmo salar,,,,X,,,X
896,Barracudina (unclassified),Paralepidae,,,,X,,,X
897,BLACKFIN GOOSEFISH,LOPHIUS GASTROPHYSUS,,,,,,,
899,RED DORY,CYTTOPSIS ROSEA,,,,,,,
900,LOPHIIFORM UNCL,LOPHIIFORMES,,,,,,,
931,SPINNER SHARK,CARCHARHINUS BREVIPINNA,,,,,,,
934,NIGHT SHARK,CARCHARHINUS SIGNATUS,,,,,,,
938,STRIPED BONITO,SARDA ORIENTALIS,,,,,,,
950,LOGGERHEAD SEATURTLE,CARETTA CARETTA,,,,,X,,
978,UNKNOWN 01,UNKNOWN 01,,,,,X,,
979,UNKNOWN 02,UNKNOWN 02,,,,,X,,
980,UNKNOWN 03,UNKNOWN 03,,,,,X,,
981,UNKNOWN 04,UNKNOWN 04,,,,,X,,
982,UNKNOWN 05,UNKNOWN 05,,,,,X,,
983,UNKNOWN 06,UNKNOWN 06,,,,,X,,
,,,,,,,,,
