"","spp","Year","Season","Season_Year","Lat","Lon","Response","Swept","PredTF"
"147","Yellowtail",7,"SPRING","SPRING_1987",41.25,-68.366667,0,0.0384,FALSE
"148","Yellowtail",7,"SPRING","SPRING_1987",42.066667,-67.416667,0,0.0384,FALSE
"149","Yellowtail",7,"SPRING","SPRING_1987",41.666667,-68.35,0,0.0384,FALSE
"150","Yellowtail",7,"SPRING","SPRING_1987",41.833333,-68.05,0,0.0384,FALSE
"151","Yellowtail",7,"SPRING","SPRING_1987",41.95,-67.866667,0.3,0.0384,FALSE
"152","Yellowtail",7,"SPRING","SPRING_1987",42.066667,-66.066667,0,0.0384,FALSE
"153","Yellowtail",7,"SPRING","SPRING_1987",41.8,-68.216667,0,0.0384,FALSE
"154","Yellowtail",10,"SPRING","SPRING_1988",40.733333,-67.866667,0,0.0384,FALSE
"155","Yellowtail",10,"SPRING","SPRING_1988",40.55,-68.25,0,0.0384,FALSE
"156","Yellowtail",10,"SPRING","SPRING_1988",41.016667,-67.583333,1.7,0.0384,FALSE
"157","Yellowtail",10,"SPRING","SPRING_1988",40.283333,-68.65,0,0.0384,FALSE
"158","Yellowtail",10,"SPRING","SPRING_1988",40.65,-68.85,5,0.0384,FALSE
"159","Yellowtail",10,"SPRING","SPRING_1988",40.983333,-68.883333,0.6,0.0384,FALSE
"160","Yellowtail",10,"SPRING","SPRING_1988",40.9,-67.266667,0,0.0384,FALSE
"161","Yellowtail",10,"SPRING","SPRING_1988",40.85,-67.316667,0,0.0384,FALSE
"162","Yellowtail",10,"SPRING","SPRING_1988",40.55,-68.15,0,0.0384,FALSE
"163","Yellowtail",10,"SPRING","SPRING_1988",40.466667,-67.55,0,0.0384,FALSE
"164","Yellowtail",10,"SPRING","SPRING_1988",40.683333,-66.933333,0,0.0384,FALSE
"165","Yellowtail",10,"SPRING","SPRING_1988",40.45,-68.083333,0,0.0384,FALSE
"166","Yellowtail",10,"SPRING","SPRING_1988",40.266667,-68.25,0,0.0384,FALSE
"167","Yellowtail",10,"SPRING","SPRING_1988",41.166667,-67.133333,2,0.0384,FALSE
"168","Yellowtail",10,"SPRING","SPRING_1988",41.416667,-66.75,0,0.0384,FALSE
